Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop]
Food Prices for Nutrition Data,FPN,Spain,ESP,2017,YR2017,0.371,2.726,0.241,1.77,0.06,0.442,2.699,6.16,1.752,0.438,0.623,2.24,0.796,2.86,0.211,0.76,0.053,0.19,0.278,0.739,2.66,0.231,0.295,0.078,0.02
Food Prices for Nutrition Data,FPN,Spain,ESP,2018,YR2018,..,2.769,..,..,..,..,2.741,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Spain,ESP,2019,YR2019,..,2.772,..,..,..,..,2.744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Spain,ESP,2020,YR2020,..,2.867,..,..,..,..,2.838,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Serbia,SRB,2017,YR2017,0.608,4.111,0.398,2.696,0.09,0.607,4.07,6.77,2.669,0.601,0.998,1.74,0.872,1.52,0.612,1.07,0.096,0.17,0.572,0.92,1.61,0.245,0.214,0.15,0.024
Food Prices for Nutrition Data,FPN,Serbia,SRB,2018,YR2018,..,4.191,..,..,..,..,4.149,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Serbia,SRB,2019,YR2019,..,4.216,..,..,..,..,4.174,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Serbia,SRB,2020,YR2020,..,4.289,..,..,..,..,4.246,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,United States,USA,2017,YR2017,0.46,3.258,0.316,2.237,0.129,0.914,3.225,3.56,2.215,0.905,0.557,0.84,0.61,0.92,0.285,0.43,0.059,0.09,0.661,1.053,1.59,0.173,0.189,0.088,0.018
Food Prices for Nutrition Data,FPN,United States,USA,2018,YR2018,..,3.273,..,..,..,..,3.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,United States,USA,2019,YR2019,..,3.301,..,..,..,..,3.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,United States,USA,2020,YR2020,..,3.417,..,..,..,..,3.383,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Food Prices for Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
